A,B,Weight
Arthur_Schopenhauer,Leo_Tolstoy,1
Arthur_Schopenhauer,Leon_Trotsky,1
Arthur_Schopenhauer,Ludwig_Wittgenstein,1
Arthur_Schopenhauer,Luitzen_Egbertus_Jan_Brouwer,1
Arthur_Schopenhauer,Marcel_Proust,1
Arthur_Schopenhauer,Max_Horkheimer,1
Arthur_Schopenhauer,Michel_Houellebecq,1
Arthur_Schopenhauer,Mihai_Eminescu,1
Arthur_Schopenhauer,Otto_Weininger,1
Arthur_Schopenhauer,Peter_Wessel_Zapffe,1
Arthur_Schopenhauer,Philipp_Mainländer,1
Arthur_Schopenhauer,Renzo_Novatore,1
Arthur_Schopenhauer,Richard_Wagner,1
Arthur_Schopenhauer,Robinson_Jeffers,1
Arthur_Schopenhauer,Rudolf_Steiner,1
Arthur_Schopenhauer,Samuel_Beckett,1
Arthur_Schopenhauer,Sigmund_Freud,1
Arthur_Schopenhauer,Søren_Kierkegaard,1
Arthur_Schopenhauer,Susanne_Langer,1
Arthur_Schopenhauer,Swami_Vivekananda,1
Arthur_Schopenhauer,Thomas_Hardy,1
Arthur_Schopenhauer,Thomas_Ligotti,1
Arthur_Schopenhauer,Thomas_Mann,1
Asclepiodotus_of_Alexandria,Damascius,1
Ash'ari,Said_Nursî,1
Ashraf_Ali_Thanwi,Maulana_Hameeduddin_Aqil,1
Ashraf_Ali_Thanwi,Mufti_Muhammad_Shafi,1
Ata_ibn_Abi_Rabah,Ibn_Jurayj,1
Attar_of_Nishapur,Sachal_Sarmast,1
